acc_name,date,inflation_count,dgs2,dgs5,dgs10,spread,fomc
ABC,2022-07-28,1,2.85,2.69,2.68,-0.16999999999999993,0
ABC,2022-07-27,2,2.96,2.82,2.78,-0.18000000000000016,1
ABC,2022-07-19,1,3.23,3.14,3.01,-0.2200000000000002,0
ABC,2022-07-18,1,3.15,3.06,2.96,-0.18999999999999995,0
ABC,2022-07-15,1,3.13,3.05,2.93,-0.19999999999999973,0
ABC,2022-07-14,1,3.15,3.06,2.96,-0.18999999999999995,0
ABC,2022-07-13,1,3.13,3.02,2.91,-0.21999999999999975,0
ABC,2022-07-11,1,3.07,3.05,2.99,-0.07999999999999963,0
ABC,2022-07-01,1,2.84,2.88,2.88,0.040000000000000036,0
ABC,2022-06-30,2,2.92,3.01,2.98,0.06000000000000005,0
ABC,2022-06-29,1,3.06,3.15,3.1,0.040000000000000036,0
business,2022-07-29,21,2.89,2.7,2.67,-0.2200000000000002,0
business,2022-07-28,23,2.85,2.69,2.68,-0.16999999999999993,0
business,2022-07-27,26,2.96,2.82,2.78,-0.18000000000000016,1
business,2022-07-26,19,3.02,2.89,2.81,-0.20999999999999996,1
business,2022-07-25,16,3,2.89,2.81,-0.18999999999999995,0
business,2022-07-22,4,2.98,2.87,2.77,-0.20999999999999996,0
CBSNews,2022-07-29,2,2.89,2.7,2.67,-0.2200000000000002,0
CBSNews,2022-07-28,3,2.85,2.69,2.68,-0.16999999999999993,0
CBSNews,2022-07-27,1,2.96,2.82,2.78,-0.18000000000000016,1
CBSNews,2022-07-26,2,3.02,2.89,2.81,-0.20999999999999996,1
CBSNews,2022-07-25,3,3,2.89,2.81,-0.18999999999999995,0
CBSNews,2022-07-22,1,2.98,2.87,2.77,-0.20999999999999996,0
CBSNews,2022-07-21,2,3.1,3,2.91,-0.18999999999999995,0
CBSNews,2022-07-20,3,3.25,3.18,3.04,-0.20999999999999996,0
CBSNews,2022-07-19,1,3.23,3.14,3.01,-0.2200000000000002,0
CBSNews,2022-07-18,1,3.15,3.06,2.96,-0.18999999999999995,0
CBSNews,2022-07-15,3,3.13,3.05,2.93,-0.19999999999999973,0
CBSNews,2022-07-14,5,3.15,3.06,2.96,-0.18999999999999995,0
CBSNews,2022-07-13,3,3.13,3.02,2.91,-0.21999999999999975,0
CBSNews,2022-07-12,1,3.03,3.01,2.96,-0.06999999999999984,0
CBSNews,2022-07-08,1,3.12,3.13,3.09,-0.03000000000000025,0
CBSNews,2022-07-06,2,2.97,2.96,2.93,-0.040000000000000036,0
CBSNews,2022-07-05,2,2.82,2.82,2.82,0,0
CNBC,2022-07-29,7,2.89,2.7,2.67,-0.2200000000000002,0
CNBC,2022-07-28,8,2.85,2.69,2.68,-0.16999999999999993,0
CNBC,2022-07-27,14,2.96,2.82,2.78,-0.18000000000000016,1
CNBC,2022-07-26,13,3.02,2.89,2.81,-0.20999999999999996,1
CNBC,2022-07-25,12,3,2.89,2.81,-0.18999999999999995,0
CNBC,2022-07-22,7,2.98,2.87,2.77,-0.20999999999999996,0
CNBC,2022-07-21,7,3.1,3,2.91,-0.18999999999999995,0
CNBC,2022-07-20,12,3.25,3.18,3.04,-0.20999999999999996,0
CNBC,2022-07-19,9,3.23,3.14,3.01,-0.2200000000000002,0
CNBC,2022-07-18,8,3.15,3.06,2.96,-0.18999999999999995,0
CNETNews,2022-07-29,1,2.89,2.7,2.67,-0.2200000000000002,0
CNETNews,2022-07-25,1,3,2.89,2.81,-0.18999999999999995,0
CNETNews,2022-07-14,1,3.15,3.06,2.96,-0.18999999999999995,0
CNETNews,2022-07-12,1,3.03,3.01,2.96,-0.06999999999999984,0
CNETNews,2022-05-03,1,2.78,3.01,2.97,0.1900000000000004,1
CNETNews,2022-04-14,1,2.47,2.79,2.83,0.3599999999999999,0
CNETNews,2022-04-13,1,2.37,2.66,2.7,0.33000000000000007,0
CNETNews,2022-04-11,1,2.5,2.79,2.79,0.29000000000000004,0
CNN,2022-07-29,2,2.89,2.7,2.67,-0.2200000000000002,0
CNN,2022-07-28,4,2.85,2.69,2.68,-0.16999999999999993,0
CNN,2022-07-27,3,2.96,2.82,2.78,-0.18000000000000016,1
CNN,2022-07-20,1,3.25,3.18,3.04,-0.20999999999999996,0
CNN,2022-07-19,1,3.23,3.14,3.01,-0.2200000000000002,0
CNN,2022-07-18,1,3.15,3.06,2.96,-0.18999999999999995,0
CNN,2022-07-14,1,3.15,3.06,2.96,-0.18999999999999995,0
CNN,2022-07-13,5,3.13,3.02,2.91,-0.21999999999999975,0
CNN,2022-07-12,1,3.03,3.01,2.96,-0.06999999999999984,0
CNN,2022-07-08,5,3.12,3.13,3.09,-0.03000000000000025,0
CNN,2022-07-06,1,2.97,2.96,2.93,-0.040000000000000036,0
CNN,2022-07-05,1,2.82,2.82,2.82,0,0
CNN,2022-07-04,1,NA,NA,NA,NA,0
CNN,2022-06-30,1,2.92,3.01,2.98,0.06000000000000005,0
CNN,2022-06-28,1,3.1,3.25,3.2,0.10000000000000009,0
CNN,2022-06-27,1,3.08,3.24,3.2,0.1200000000000001,0
CNN,2022-06-23,1,3.01,3.14,3.09,0.08000000000000007,0
CNN,2022-06-22,3,3.06,3.22,3.16,0.10000000000000009,0
FinancialTimes,2022-07-29,2,2.89,2.7,2.67,-0.2200000000000002,0
FinancialTimes,2022-07-27,3,2.96,2.82,2.78,-0.18000000000000016,1
FinancialTimes,2022-07-26,3,3.02,2.89,2.81,-0.20999999999999996,1
FinancialTimes,2022-07-25,3,3,2.89,2.81,-0.18999999999999995,0
FinancialTimes,2022-07-22,5,2.98,2.87,2.77,-0.20999999999999996,0
FinancialTimes,2022-07-21,2,3.1,3,2.91,-0.18999999999999995,0
FinancialTimes,2022-07-20,3,3.25,3.18,3.04,-0.20999999999999996,0
FinancialTimes,2022-07-18,3,3.15,3.06,2.96,-0.18999999999999995,0
FinancialTimes,2022-07-15,2,3.13,3.05,2.93,-0.19999999999999973,0
FinancialTimes,2022-07-14,3,3.15,3.06,2.96,-0.18999999999999995,0
FinancialTimes,2022-07-13,3,3.13,3.02,2.91,-0.21999999999999975,0
FinancialTimes,2022-07-12,3,3.03,3.01,2.96,-0.06999999999999984,0
FinancialTimes,2022-07-11,1,3.07,3.05,2.99,-0.07999999999999963,0
FinancialTimes,2022-07-08,1,3.12,3.13,3.09,-0.03000000000000025,0
FinancialTimes,2022-07-07,2,3.03,3.05,3.01,-0.020000000000000018,0
FinancialTimes,2022-07-06,1,2.97,2.96,2.93,-0.040000000000000036,0
FinancialTimes,2022-07-05,2,2.82,2.82,2.82,0,0
FinancialTimes,2022-07-04,6,NA,NA,NA,NA,0
FinancialTimes,2022-07-01,1,2.84,2.88,2.88,0.040000000000000036,0
FinancialTimes,2022-06-30,2,2.92,3.01,2.98,0.06000000000000005,0
FinancialTimes,2022-06-29,4,3.06,3.15,3.1,0.040000000000000036,0
FinancialTimes,2022-06-28,3,3.1,3.25,3.2,0.10000000000000009,0
FinancialTimes,2022-06-24,1,3.04,3.18,3.13,0.08999999999999986,0
FinancialTimes,2022-06-23,3,3.01,3.14,3.09,0.08000000000000007,0
FinancialTimes,2022-06-22,4,3.06,3.22,3.16,0.10000000000000009,0
FinancialTimes,2022-06-21,2,3.21,3.38,3.31,0.10000000000000009,0
FinancialTimes,2022-06-20,2,NA,NA,NA,NA,0
FinancialTimes,2022-06-17,3,3.17,3.34,3.25,0.08000000000000007,0
